profileID;PRES;TEMP;PSAL
9012;0.0;3.117;33.787
9012;10.0;3.094;33.787
9012;20.0;3.059;33.787
9012;30.0;3.054;33.787
9012;40.0;2.947;33.787
9012;50.0;2.937;33.788
9012;60.0;2.934;33.788
9012;70.0;2.931;33.789
9012;80.0;2.923;33.79
9012;90.0;2.914;33.792
9012;100.0;2.834;33.799
9012;110.0;2.581;33.82
9012;120.0;2.327;33.84
9012;130.0;2.074;33.861
9012;140.0;1.82;33.882
9012;150.0;1.658;33.907
9012;160.0;1.621;33.939
9012;170.0;1.585;33.971
9012;180.0;1.548;34.002
9012;190.0;1.511;34.034
9012;200.0;1.506;34.055
9012;210.0;1.526;34.069
9012;220.0;1.546;34.082
9012;230.0;1.566;34.095
9012;240.0;1.586;34.109
9012;250.0;1.62;34.122
9012;260.0;1.664;34.135
9012;270.0;1.708;34.149
9012;280.0;1.751;34.162
9012;290.0;1.795;34.175
9012;300.0;1.817;34.187
9012;310.0;1.832;34.197
9012;320.0;1.846;34.208
9012;330.0;1.86;34.219
9012;340.0;1.874;34.229
9012;350.0;1.889;34.24
9012;360.0;1.903;34.251
9012;370.0;1.917;34.262
9012;380.0;1.931;34.272
9012;390.0;1.946;34.283
9012;400.0;1.965;34.293
9012;410.0;1.993;34.301
9012;420.0;2.021;34.309
9012;430.0;2.049;34.317
9012;440.0;2.077;34.325
9012;450.0;2.105;34.333
9012;460.0;2.133;34.341
9012;470.0;2.161;34.349
9012;480.0;2.189;34.357
9012;490.0;2.217;34.365
9012;500.0;2.245;34.373
9105;0.0;3.645;33.767
9105;10.0;3.649;33.768
9105;20.0;3.654;33.768
9105;30.0;3.646;33.767
9105;40.0;3.639;33.766
9105;50.0;3.641;33.766
9105;60.0;3.639;33.767
9105;70.0;3.631;33.768
9105;80.0;3.624;33.77
9105;90.0;3.616;33.772
9105;100.0;3.608;33.774
9105;110.0;3.492;33.775
9105;120.0;3.351;33.777
9105;130.0;3.209;33.779
9105;140.0;3.067;33.781
9105;150.0;2.93;33.791
9105;160.0;2.807;33.828
9105;170.0;2.684;33.865
9105;180.0;2.561;33.901
9105;190.0;2.438;33.938
9105;200.0;2.315;33.975
9105;210.0;2.192;34.011
9105;220.0;2.068;34.048
9105;230.0;1.982;34.08
9105;240.0;1.984;34.099
9105;250.0;1.987;34.119
9105;260.0;1.989;34.138
9105;270.0;1.992;34.158
9105;280.0;1.994;34.178
9105;290.0;1.997;34.197
9105;300.0;1.999;34.217
9105;310.0;2.002;34.231
9105;320.0;2.004;34.236
9105;330.0;2.007;34.24
9105;340.0;2.009;34.244
9105;350.0;2.012;34.248
9105;360.0;2.014;34.253
9105;370.0;2.017;34.257
9105;380.0;2.019;34.261
9105;390.0;2.022;34.265
9105;400.0;2.03;34.276
9105;410.0;2.04;34.287
9105;420.0;2.05;34.298
9105;430.0;2.059;34.309
9105;440.0;2.069;34.32
9105;450.0;2.078;34.331
9105;460.0;2.088;34.343
9105;470.0;2.098;34.354
9105;480.0;2.105;34.363
9105;490.0;2.11;34.371
9105;500.0;2.114;34.379
9106;0.0;3.038;33.793
9106;10.0;2.989;33.793
9106;20.0;2.989;33.794
9106;30.0;2.986;33.794
9106;40.0;2.99;33.794
9106;50.0;2.994;33.794
